X,Y,Name,description
8.68714,45.234561,Castello d'Agogna,
10.013553,46.145995,Castello dell'Acqua,
9.345345,45.75928,Castello di Brianza,
10.648485,45.147276,Castellucchio,
9.233041,45.83238,Castelmarte,
8.611838,45.25476,Castelnovetto,
9.863668,45.110868,Castelnuovo Bocca d'Adda,
8.943536,45.764576,Castelnuovo Bozzente,
8.862635,45.715974,Castelseprio,
8.666327,45.947978,Castelveccana,
9.99557,45.188771,Castelverde,
9.941067,45.305374,Castelvisconti,
10.295672,45.469481,Castenedolo,
9.694163,45.218869,Castiglione d'Adda,
9.090636,45.955082,Castiglione d'Intelvi,
10.485277,45.390581,Castiglione delle Stiviere,
8.874535,45.753175,Castiglione Olona,
9.800247,46.172794,Castione Andevenno,
10.063558,45.91439,Castione della Presolana,
9.404556,45.257268,Castiraga Vidardo,
10.321168,45.694887,Casto,
9.980864,45.511279,Castrezzato,
10.06706,45.802987,Castro,
8.812834,45.745674,Castronno,
9.106851,45.140162,Cava Manara,
9.741864,45.189769,Cavacurta,
9.032837,45.809578,Cavallasca,
9.111234,46.090086,Cavargna,
8.801434,45.693373,Cavaria con Premezzo,
9.60106,45.28447,Cavenago d'Adda,
9.41445,45.584076,Cavenago di Brianza,
9.765557,45.62528,Cavernago,
10.597981,45.347081,Cavriana,
8.734831,45.795875,Cazzago Brabbia,
10.041864,45.593782,Cazzago San Martino,
9.884756,45.812586,Cazzano Sant'Andrea,
9.080356,44.850655,Cecima,
10.349562,46.076697,Cedegolo,
9.767047,46.149293,Cedrasco,
10.221477,45.095271,Cella Dati,
10.180167,45.581983,Cellatica,
9.822157,45.712983,Cenate Sopra,
9.826357,45.698982,Cenate Sotto,
9.825455,45.783285,Cene,
9.088836,45.943282,Cerano d'Intelvi,
9.243152,45.260266,Ceranova,
9.508141,46.158091,Cercino,
10.569581,45.262278,Ceresara,
9.994658,45.867288,Cerete,
8.67244,45.244961,Ceretto Lomellina,
8.772343,45.198261,Cergnago,
9.078342,45.630374,Ceriano Laghetto,
9.08584,45.702876,Cermenate,
9.067037,45.841079,Cernobbio,
9.399248,45.690878,Cernusco Lombardone,
9.322749,45.522874,Cernusco sul Naviglio,
9.339053,45.329969,Cerro al Lambro,
8.950239,45.595272,Cerro Maggiore,
9.1329,45.2542,Certosa di Pavia,
10.325762,46.002595,Cerveno,
9.016151,45.061259,Cervesina,
9.424054,45.373871,Cervignano d'Adda,
9.299543,45.816781,Cesana Brianza,
9.094446,45.442069,Cesano Boscone,
9.152243,45.630375,Cesano Maderno,
9.075742,45.595873,Cesate,
10.351963,46.002595,Ceto,
9.930362,45.535879,Chiari,
9.398636,46.321594,Chiavenna,
9.848647,46.265097,Chiesa in Valmalenco,
9.616459,45.340472,Chieve,
9.527651,45.667579,Chignolo d'Isola,
9.481559,45.148166,Chignolo Po,
9.849458,45.650682,Chiuduno,
9.980952,46.164996,Chiuro,
10.194575,45.164573,Cicognolo,
9.244856,45.032761,Cigognola,
10.189372,45.308676,Cigole,
8.74474,45.310063,Cilavegna,
10.365663,46.024096,Cimbergo,
10.275478,45.085071,Cingia de' Botti,
9.221846,45.557073,Cinisello Balsamo,
9.484541,46.158991,Cino,
9.012539,45.699775,Cirimido,
9.470248,45.74248,Cisano Bergamasco,
9.602554,45.589378,Ciserano,
8.971939,45.658774,Cislago,
8.990243,45.444669,Cisliano,
8.660127,45.896977,Cittiglio,
9.342944,45.828081,Civate,
9.27124,45.940183,Civenna,
9.83096,45.554879,Cividate al Piano,
10.277462,45.942493,Cividate Camuno,
9.560642,46.154191,Civo,
9.0833333,46.0,Claino con Osteno,
8.930834,45.862778,Clivio,
9.949656,45.887088,Clusone,
9.974263,45.564581,Coccaglio,
8.688229,45.862876,Cocquio-Trevisago,
9.056153,44.963558,Codevilla,
9.702164,45.161868,Codogno,
9.078841,45.645974,Cogliate,
10.082757,45.974292,Colere,
9.369839,46.132389,Colico,
9.364345,45.76238,Colle Brianza,
10.210168,45.581183,Collebeato,
10.334266,45.80979,Collio,
9.941362,45.581381,Cologne,
9.708756,45.582079,Cologno al Serio,
